"","result_id","author","year"
"1","10563-1","0","1999"
"2","7222-1","Ancelin","2014"
"3","9429-1","Ancelin (Female only)","2012"
"4","9429-3","Ancelin (Male only)","2012"
"5","9429-5","Ancelin (Female only)","2012"
"6","9429-7","Ancelin (Male only)","2012"
"7","9429-2","Ancelin (Female only)","2012"
"8","9429-4","Ancelin (Male only)","2012"
"9","9429-6","Ancelin (Female only)","2012"
"10","9429-8","Ancelin (Male only)","2012"
"11","14346-10","Ancelin (Female only)","2013"
"12","14346-11","Ancelin (Female only)","2013"
"13","14346-14","Ancelin (Male only)","2013"
"14","14346-15","Ancelin (Male only)","2013"
"15","14346-18","Ancelin (Male only)","2013"
"16","14346-19","Ancelin (Male only)","2013"
"17","14346-3","Ancelin (Female only)","2013"
"18","14346-4","Ancelin (Female only)","2013"
"19","14346-7","Ancelin (Female only)","2013"
"20","14346-22","Ancelin (Male only)","2013"
"21","14346-23","Ancelin (Male only)","2013"
"22","14346-8","Ancelin (Female only)","2013"
"23","14346-9","Ancelin (Female only)","2013"
"24","14346-20","Ancelin (Male only)","2013"
"25","14346-21","Ancelin (Male only)","2013"
"26","14346-1","Ancelin (Female only)","2013"
"27","14346-2","Ancelin (Female only)","2013"
"28","14346-5","Ancelin (Female only)","2013"
"29","14346-6","Ancelin (Female only)","2013"
"30","14346-12","Ancelin (Female only)","2013"
"31","14346-13","Ancelin (Male only)","2013"
"32","14346-16","Ancelin (Male only)","2013"
"33","14346-17","Ancelin (Male only)","2013"
"34","90006-1","Andrews","2019"
"35","90006-2","Andrews","2019"
"36","90006-3","Andrews","2019"
"37","90006-4","Andrews","2019"
"38","14761-1","Arvanitakis","2008"
"39","14761-3","Arvanitakis","2008"
"40","14761-2","Arvanitakis","2008"
"41","10454-2","Batty","2014"
"42","10454-1","Batty","2014"
"43","9740-16","Benn","2017"
"44","9740-17","Benn","2017"
"45","9740-18","Benn","2017"
"46","9740-1","Benn","2017"
"47","9740-2","Benn","2017"
"48","9740-3","Benn","2017"
"49","9740-4","Benn","2017"
"50","9740-5","Benn","2017"
"51","9740-6","Benn","2017"
"52","9740-7","Benn","2017"
"53","9740-8","Benn","2017"
"54","9740-9","Benn","2017"
"55","9740-10","Benn","2017"
"56","9740-11","Benn","2017"
"57","9740-12","Benn","2017"
"58","9740-19","Benn","2017"
"59","9740-13","Benn","2017"
"60","9740-14","Benn","2017"
"61","9740-15","Benn","2017"
"62","14763-2","Bettermann","2012"
"63","14763-4","Bettermann","2012"
"64","14763-6","Bettermann","2012"
"65","14763-8","Bettermann","2012"
"66","14763-12","Bettermann","2012"
"67","14763-1","Bettermann","2012"
"68","14763-3","Bettermann","2012"
"69","14763-5","Bettermann","2012"
"70","14763-7","Bettermann","2012"
"71","14763-11","Bettermann","2012"
"72","14763-10","Bettermann","2012"
"73","14763-14","Bettermann","2012"
"74","14763-9","Bettermann","2012"
"75","14763-13","Bettermann","2012"
"76","14709-1","Beydoun","2011"
"77","14709-2","Beydoun","2011"
"78","14709-3","Beydoun","2011"
"79","14709-4","Beydoun","2011"
"80","14709-5","Beydoun","2011"
"81","5046-1","Borenstein","2005"
"82","9759-2","Bruce","2017"
"83","9759-1","Bruce","2017"
"84","9759-3","Bruce","2017"
"85","5007-1","Bruijn","2014"
"86","10068-2","Burgess","2017"
"87","10068-1","Burgess","2017"
"88","10068-3","Burgess","2017"
"89","3653-1","Burke","2018"
"90","14715-1","Chao","2015"
"91","14715-7","Chao","2015"
"92","14715-2","Chao","2015"
"93","14715-3","Chao","2015"
"94","14715-4","Chao","2015"
"95","14715-5","Chao","2015"
"96","14715-6","Chao","2015"
"97","4460-1","Chen","2014"
"98","4463-1","Chen","2017"
"99","6297-1","Chen","2014"
"100","6297-2","Chen","2014"
"101","6297-3","Chen","2014"
"102","10312-1","Chiang","2007"
"103","10312-2","Chiang","2007"
"104","10312-3","Chiang","2007"
"105","10312-4","Chiang","2007"
"106","10312-5","Chiang","2007"
"107","10312-6","Chiang","2007"
"108","15651-1","Chitnis","2013"
"109","15652-1","Chitnis","2015"
"110","15652-2","Chitnis","2015"
"111","14658-11","Chou","2014"
"112","14658-1","Chou","2014"
"113","14658-2","Chou","2014"
"114","14658-3","Chou","2014"
"115","14658-4","Chou","2014"
"116","14658-5","Chou (Male only)","2014"
"117","14658-6","Chou (Female only)","2014"
"118","14658-7","Chou","2014"
"119","14658-8","Chou","2014"
"120","14658-9","Chou","2014"
"121","14658-14","Chou","2014"
"122","14658-16","Chou","2014"
"123","14658-17","Chou","2014"
"124","14658-13","Chou","2014"
"125","14658-15","Chou","2014"
"126","14658-10","Chou","2014"
"127","14658-12","Chou","2014"
"128","4799-11","Chuang","2015"
"129","4799-1","Chuang","2015"
"130","4799-2","Chuang (Female only)","2015"
"131","4799-3","Chuang (Male only)","2015"
"132","4799-4","Chuang","2015"
"133","4799-5","Chuang","2015"
"134","4799-6","Chuang","2015"
"135","4799-7","Chuang","2015"
"136","4799-9","Chuang","2015"
"137","4799-10","Chuang","2015"
"138","4799-12","Chuang","2015"
"139","4799-13","Chuang","2015"
"140","4799-8","Chuang","2015"
"141","10564-1","Collins","2003"
"142","10565-1","Collins","2002"
"143","8290-1","Cramer","2008"
"144","15647-1","Cramer","2008"
"145","15806-1","DeCarlo","2016"
"146","13777-1","Dodge","2011"
"147","13777-2","Dodge","2011"
"148","1118-1","Dufouil","2005"
"149","14218-1","Evans","2000"
"150","14296-1","Evans","1999"
"151","7223-1","Exalto","2012"
"152","7223-1","Exalto","2012"
"153","10182-4","Forti","2010"
"154","10182-5","Forti","2010"
"155","10182-6","Forti","2010"
"156","10182-10","Forti","2010"
"157","10182-11","Forti","2010"
"158","10182-12","Forti","2010"
"159","10182-1","Forti","2010"
"160","10182-2","Forti","2010"
"161","10182-3","Forti","2010"
"162","10182-7","Forti","2010"
"163","10182-8","Forti","2010"
"164","10182-9","Forti","2010"
"165","14628-1","Gnjidic","2016"
"166","2434-1","Gottesman","2017"
"167","2434-2","Gottesman","2017"
"168","2434-3","Gottesman","2017"
"169","14663-1","Green","2006"
"170","6536-1","Gustafson","2012"
"171","14720-2","Haag","2009"
"172","14720-1","Haag","2009"
"173","14720-4","Haag","2009"
"174","14720-3","Haag","2009"
"175","14657-1","Hake","2011"
"176","3602-1","Hall","2006"
"177","8327-1","Harding","2017"
"178","15849-1","Hayden","2006"
"179","15849-2","Hayden","2006"
"180","15849-3","Hayden","2006"
"181","15849-4","Hayden (Male only)","2006"
"182","15849-5","Hayden (Female only)","2006"
"183","15849-6","Hayden (Male only)","2006"
"184","15849-7","Hayden (Female only)","2006"
"185","10562-1","Heart Protection Study Collaborative Group (Both only)","2002"
"186","14670-1","Hendrie","2015"
"187","14670-2","Hendrie","2015"
"188","15548-2","Hippisley-Cox (Female only)","2010"
"189","15548-7","Hippisley-Cox (Male only)","2010"
"190","15548-3","Hippisley-Cox (Female only)","2010"
"191","15548-8","Hippisley-Cox (Male only)","2010"
"192","15548-4","Hippisley-Cox (Female only)","2010"
"193","15548-9","Hippisley-Cox (Male only)","2010"
"194","15548-5","Hippisley-Cox (Female only)","2010"
"195","15548-10","Hippisley-Cox (Male only)","2010"
"196","15548-1","Hippisley-Cox (Female only)","2010"
"197","15548-6","Hippisley-Cox (Male only)","2010"
"198","6298-1","Horng","2014"
"199","14714-2","Jick","2000"
"200","14714-3","Jick","2000"
"201","14714-1","Jick","2000"
"202","90003-1","JUPITER (Both only)","2009"
"203","10280-1","Kimm (Male only)","2011"
"204","10280-2","Kimm (Male only)","2011"
"205","10280-3","Kimm (Male only)","2011"
"206","10280-4","Kimm (Male only)","2011"
"207","10280-5","Kimm (Male only)","2011"
"208","10280-6","Kimm (Male only)","2011"
"209","10280-7","Kimm (Male only)","2011"
"210","10280-8","Kimm (Male only)","2011"
"211","10280-9","Kimm (Male only)","2011"
"212","10280-10","Kimm (Female only)","2011"
"213","10280-11","Kimm (Female only)","2011"
"214","10280-12","Kimm (Female only)","2011"
"215","10280-13","Kimm (Female only)","2011"
"216","10280-14","Kimm (Female only)","2011"
"217","10280-15","Kimm (Female only)","2011"
"218","10280-16","Kimm (Female only)","2011"
"219","10280-17","Kimm (Female only)","2011"
"220","10280-18","Kimm (Female only)","2011"
"221","10321-1","Kivipelto","2001"
"222","10324-1","Kivipelto","2001"
"223","11282-1","Kivipelto","2005"
"224","10325-1","Knopman","2018"
"225","1883-1","Kuo","2015"
"226","90006-1","Larsson","2017"
"227","366-1","Li","2010"
"228","9179-1","Li","2017"
"229","14206-9","Li","2005"
"230","14206-10","Li","2005"
"231","14206-11","Li","2005"
"232","14206-12","Li","2005"
"233","14206-13","Li","2005"
"234","14206-14","Li","2005"
"235","14206-15","Li","2005"
"236","14206-16","Li","2005"
"237","14206-1","Li","2005"
"238","14206-2","Li","2005"
"239","14206-3","Li","2005"
"240","14206-4","Li","2005"
"241","14206-5","Li","2005"
"242","14206-6","Li","2005"
"243","14206-7","Li","2005"
"244","14206-8","Li","2005"
"245","14632-3","Li","2004"
"246","14632-4","Li","2004"
"247","14632-1","Li","2004"
"248","14632-2","Li","2004"
"249","14641-1","Li","2007"
"250","14642-1","Li","2008"
"251","14754-1","Liao","2013"
"252","4301-1","Lilly","2014"
"253","14621-1","Liu","2019"
"254","3609-1","Mainous","2005"
"255","3609-2","Mainous","2005"
"256","14205-1","Marcum","2018"
"257","2066-1","Matsuzaki","2011"
"258","99999-1","McGuinness",NA
"259","99999-2","McGuinness",NA
"260","99999-3","McGuinness",NA
"261","99999-4","McGuinness",NA
"262","60-1","Mielke","2010"
"263","60-2","Mielke","2010"
"264","60-3","Mielke","2010"
"265","60-4","Mielke","2010"
"266","60-5","Mielke","2010"
"267","60-6","Mielke","2010"
"268","60-7","Mielke","2010"
"269","60-8","Mielke","2010"
"270","2838-1","Mielke","2005"
"271","7851-1","Mielke","2004"
"272","7859-1","Mielke","2005"
"273","7859-2","Mielke","2005"
"274","14202-4","Mielke","2012"
"275","14202-5","Mielke","2012"
"276","14202-6","Mielke","2012"
"277","14202-13","Mielke","2012"
"278","14202-14","Mielke","2012"
"279","14202-15","Mielke","2012"
"280","14202-1","Mielke","2012"
"281","14202-2","Mielke","2012"
"282","14202-3","Mielke","2012"
"283","14202-10","Mielke","2012"
"284","14202-11","Mielke","2012"
"285","14202-12","Mielke","2012"
"286","14202-7","Mielke","2012"
"287","14202-8","Mielke","2012"
"288","14202-9","Mielke","2012"
"289","14202-16","Mielke","2012"
"290","14202-17","Mielke","2012"
"291","14202-18","Mielke","2012"
"292","15791-1","Mukherjee","2013"
"293","15791-2","Mukherjee","2013"
"294","15791-3","Mukherjee","2013"
"295","10170-3","Muller","2007"
"296","10170-4","Muller","2007"
"297","10170-1","Muller","2007"
"298","10170-2","Muller","2007"
"299","10184-1","Ng","2016"
"300","2132-1","Nilsson","2003"
"301","8481-2","Noale (Male only)","2013"
"302","8481-1","Noale (Male only)","2013"
"303","8481-3","Noale (Female only)","2013"
"304","14295-1","Notkola","1998"
"305","13739-1","O'Bryant","2013"
"306","2439-2","Ostergaard","2017"
"307","2439-3","Ostergaard","2017"
"308","2439-1","Ostergaard","2017"
"309","2439-4","Ostergaard","2017"
"310","8870-1","Ou","2017"
"311","14664-3","Pan","2018"
"312","14664-1","Pan","2018"
"313","14664-6","Pan","2018"
"314","14664-9","Pan","2018"
"315","14664-8","Pan","2018"
"316","14664-5","Pan","2018"
"317","14664-7","Pan","2018"
"318","14664-2","Pan","2018"
"319","14664-4","Pan","2018"
"320","13724-1","Parikh","2011"
"321","7354-1","Peloso","2018"
"322","8878-1","Peloso","2018"
"323","3094-2","Peters","2009"
"324","3094-1","Peters","2009"
"325","15862-1","Piguet","2003"
"326","3413-1","Qiu","2006"
"327","10181-4","Raffaitin","2009"
"328","10181-5","Raffaitin","2009"
"329","10181-6","Raffaitin","2009"
"330","10181-1","Raffaitin","2009"
"331","10181-2","Raffaitin","2009"
"332","10181-3","Raffaitin","2009"
"333","3151-1","Rantanen","2017"
"334","3151-2","Rantanen","2017"
"335","3151-3","Rantanen","2017"
"336","3151-4","Rantanen","2017"
"337","3151-5","Rantanen","2017"
"338","3151-6","Rantanen","2017"
"339","3587-1","Rantanen","2014"
"340","126-1","Rasmussen","2018"
"341","14665-20","Rea","2005"
"342","14665-21","Rea","2005"
"343","14665-22","Rea","2005"
"344","14665-17","Rea","2005"
"345","14665-18","Rea","2005"
"346","14665-19","Rea","2005"
"347","14665-23","Rea","2005"
"348","14665-24","Rea","2005"
"349","14665-25","Rea","2005"
"350","14665-9","Rea","2005"
"351","14665-10","Rea","2005"
"352","14665-11","Rea","2005"
"353","14665-12","Rea","2005"
"354","14665-5","Rea","2005"
"355","14665-6","Rea","2005"
"356","14665-7","Rea","2005"
"357","14665-8","Rea","2005"
"358","14665-13","Rea","2005"
"359","14665-14","Rea","2005"
"360","14665-15","Rea","2005"
"361","14665-16","Rea","2005"
"362","14665-3","Rea","2005"
"363","14665-4","Rea","2005"
"364","14665-1","Rea","2005"
"365","14665-2","Rea","2005"
"366","2017-5","Redelmeier","2019"
"367","2017-1","Redelmeier","2019"
"368","2017-2","Redelmeier","2019"
"369","2017-3","Redelmeier","2019"
"370","2017-4","Redelmeier","2019"
"371","2017-6","Redelmeier","2019"
"372","2214-5","Reitz","2010"
"373","2214-6","Reitz","2010"
"374","2214-7","Reitz","2010"
"375","2214-8","Reitz","2010"
"376","2214-9","Reitz","2010"
"377","2214-10","Reitz","2010"
"378","2214-11","Reitz","2010"
"379","2214-12","Reitz","2010"
"380","2214-1","Reitz","2010"
"381","2214-2","Reitz","2010"
