result_id,type,yi,sei,d1j,d1d,d1t,d2j,d2d,d2t,d3j,d3d,d3t
5245-7,NRSE,0.113328685,0.045269226,Low,None,None,Low,None,None,Low,None,None
2140-24,NRSE,0.019802627,0.150318262,Low,None,None,Low,None,None,Low,None,None
2140-23,NRSE,-0.061875404,0.126793954,Low,None,None,Low,None,None,Low,None,None
2140-25,NRSE,-0.105360516,0.180840698,Low,None,None,Low,None,None,Low,None,None
90002-8,NRSE,-0.116533816,0.17682326,Low,None,None,Low,None,None,Low,None,None
9429-6,NRSI,0.157003749,0.192288725,Low,None,None,Moderate,Left,Prop,Low,None,None
9429-8,NRSI,0.086177696,0.246375351,Low,None,None,Moderate,Left,Prop,Low,None,None
14761-1,NRSI,-0.094310679,0.264004203,Low,None,None,Moderate,Right,Prop,Low,None,None
14763-3,NRSI,-0.776528789,0.238971751,Low,None,None,Moderate,Right,Prop,Low,None,None
14658-2,NRSI,-0.186329578,0.183336858,Low,None,None,Moderate,Right,Prop,Low,None,None
14720-1,NRSI,-0.562118918,0.226758101,Low,None,None,Moderate,Right,Prop,Low,None,None
14632-2,NRSI,-0.198450939,0.294633986,Low,None,None,Moderate,Right,Prop,Low,None,None
366-1,NRSI,-0.478035801,0.22597743,Low,None,None,Moderate,Right,Prop,Low,None,None
14665-6,NRSI,0.19062036,0.235086757,Low,None,None,Moderate,Left,Prop,Low,None,None
13401-2,NRSI,-0.127833372,0.353646521,Low,None,None,Moderate,Right,Prop,Low,None,None
5965-2,NRSI,-0.210721031,0.258534306,Low,None,None,Moderate,Right,Prop,Low,None,None
5397-2,NRSI,0.173953307,0.544645763,Low,None,None,Moderate,Left,Prop,Low,None,None
2439-3,MR - LDL,0.067658648,0.045205729,Low,None,None,Moderate,Left,Prop,Low,None,None
999-1,NRSI,-0.02020271,0.01832289,Low,None,None,Moderate,Right,Prop,Low,None,None
90005-1,MR - HMGCR,-0.204,0.232,Low,None,None,Moderate,Right,Prop,Low,None,None
9740-16,MR - HMGCR,-0.527,0.437,Low,None,None,Moderate,Right,Prop,Low,None,None
14670-2,NRSI,-0.9162907,0.4133897,Low,None,None,Moderate,Right,Prop,Low,None,None
2016-1,NRSI,-0.4942963,0.1857751,Low,None,None,Moderate,Right,Prop,Low,None,None
